INGRESO;CASO;CARTAS ENVIADAS;VALOR SERVICIO;CUANTO PAGO AL ABRIR;CUOTA MENSUAL;CUANTO DEBE
1/10/2024;15251;0;$2.500,00;$1.500,00;$166,66;$0,00
3/10/2024;15253;0;$3.000,00;$1.000,00;$333,33;$0,00
4/10/2024;15257;0;$3.000,00;$1.000,00;$400,00;$0,00
7/10/2024;15260;0;$3.000,00;$1.000,00;$333,33;$0,00
15/10/2024;15066;0;$3.250,00;$1.000,00;$187,50;$1.875,00
18/10/2024;15014;0;$6.250,00;$1.000,00;$438,00;$2.000,00
21/10/2024;15271;0;$1.250,00;$500,00;$150,00;$0,00
28/10/2024;15282;0;$4.500,00;$1.500,00;$250,00;$1.000,00
8/11/2024;15297;0;$3.250,00;$1.000,00;$225,00;$300,00
13/11/2024;15301;0;$4.250,00;$1.000,00;$271,00;$1.804,00
13/11/2024;15300;0;$3.500,00;$1.000,00;$208,33;$500,00
14/11/2024;15304;0;$4.000,00;$2.000,00;$166,66;$880,00
3/12/2024;15325;0;$5.500,00;$1.500,00;$444,44;$2.220,00
4/12/2024;15328;0;$2.500,00;$750,00;$175,00;$700,00
4/12/2024;15330;0;$3.000,00;$500,00;$277,77;$0,00
4/12/2024;15331;0;$3.500,00;$1.000,00;$277,77;$0,00
5/12/2024;15333;0;$3.000,00;$1.500,00;$125,00;$735,00
9/12/2024;15339;0;$650,00;$400,00;$250,00;$0,00
10/12/2024;15343;0;$5.500,00;$1.000,00;$500,00;$2.500,00
17/12/2024;15355;0;$4.250,00;$1.000,00;$270,83;$1.899,17
2/1/2025;15366;0;$6.000,00;$4.000,00;$1.000,00;$0,00
2/1/2025;15371;0;$3.000,00;$1.500,00;$250,00;$0,00
6/1/2025;15374;0;$600,00;$300,00;$300,00;$0,00
14/1/2025;15381;0;$3.000,00;$1.000,00;$333,00;$1.004,00
15/1/2025;15383;0;$550,00;$300,00;$250,00;$0,00
15/1/2025;15384;0;$2.000,00;$600,00;$175,00;$875,00
15/1/2025;15385;0;$1.500,00;$1.000,00;$125,00;$0,00
15/1/2025;15387;0;$3.000,00;$1.000,00;$400,00;$0,00
23/1/2025;15390;0;$1.850,00;$1.000,00;$284,00;$0,00
27/1/2025;15396;0;$6.500,00;$2.000,00;$450,00;$2.700,00
28/1/2025;15397;0;$1.000,00;$750,00;$84,00;$250,00
29/1/2025;15401;0;$300,00;$120,00;$180,00;$180,00
29/1/2025;15402;0;$3.800,00;$1.200,00;$260,00;$1.840,00
2/3/2025;15414;0;$3.500,00;$1.500,00;$333,33;$327,34
6/2/2025;15418;0;$3.500,00;$1.500,00;$200,00;$1.200,00
6/2/2025;15419;0;$3.250,00;$1.000,00;$225,00;$1.350,00
12/2/2025;15424;0;$4.250,00;$1.500,00;$229,00;$2.060,00
17/2/2025;15426;0;$3.250,00;$1.000,00;$325,00;$950,00
18/2/2025;15427;0;$4.250,00;$1.500,00;$230,00;$1.830,00
21/2/2025;15432;;$3.000,00;$1.500,00;$300,00;$300,00
21/2/2025;15434;;$3.800,00;$1.150,00;$265,00;$2.389,00
25/2/2025;15437;;$4.250,00;$1.000,00;$271,00;$2.437,00
31/1/2025;15409;0;$1.000,00;$500,00;$250,00;$0,00
23/2/2024;14984;;$4.250,00;$1.500,00;$275,00;$0,00
23/8/2024;15192;;$3.000,00;$1.500,00;$125,00;$875,00
27/2/2024;15440;;$700,00;$400,00;$300,00;$300,00
5/3/2025;15451;;$5.550,00;$1.800,00;$309,00;$2.682,00
4/3/2025;15447;;$5.550,00;$1.650,00;$388,50;$2.719,50
6/3/2025;15455;;$3.000,00;$1.500,00;$150,00;$1.050,00
7/3/2025;15459;;$3.250,00;$1.000,00;$281,25;$1.750,00
12/3/2025;15465;;$3.000,00;$1.000,00;$400,00;$1.200,00
20/3/2025;15471;;$3.000,00;$1.000,00;$400,00;$1.200,00
21/3/2025;15472;;$3.000,00;$1.500,00;$300,00;$1.200,00
24/3/2025;15474;;$4.250,00;$1.200,00;$305,00;$2.440,00
24/3/2025;15479;;$1.000,00;$300,00;$350,00;$325,00
27/3/2025;15485;;$3.000,00;$1.000,00;$400,00;$1.800,00
27/3/2025;15488;;$4.750,00;$1.500,00;$325,00;$2.600,00
31/3/2025;15490;;$5.925,00;$2.000,00;$785,00;$3.925,00
1/4/2025;15495;;$1.500,00;$500,00;$250,00;$500,00
4/4/2025;15497;;$3.000,00;$1.500,00;$187,50;$1.500,00
16/4/2025;15511;;$1.000,00;$350,00;$216,66;$650,00
5/6/2025;15529;;$4.000,00;$1.500,00;$250,00;$2.250,00
5/6/2025;15530;;$925,00;$925,00;$925,00;$0,00
5/6/2025;15531;;$6.425,00;$1.500,00;$492,50;$4.425,00
5/6/2025;15532;;$1.500,00;$1.000,00;$500,00;$500,00
9/5/2025;11219;;$4.000,00;$1.500,00;$250,00;$2.070,00
20/5/2025;15541;;$3.000,00;$1.000,00;$400,00;$1.600,00
20/5/2025;15543;;$3.000,00;$1.000,00;$200,00;$2.000,00
27/5/2025;15551;;$1.550,00;$1.000,00;$550,00;$550,00
25/5/2025;15553;;$1.000,00;$500,00;$5.000,00;$500,00
29/5/2025;15554;;$2.000,00;$1.000,00;$800,00;$800,00
30/5/2025;15558;;$2.500,00;$1.000,00;$300,00;$1.500,00
29/5/2025;15559;;$3.000,00;$1.000,00;$385,00;$1.925,00
28/6/2025;15577;;$1.000,00;$500,00;$500,00;$500,00
5/6/2025;15615;;$3.000,00;$1.000,00;$400,00;$2.000,00
9/6/2025;15632;;$1.000,00;$500,00;$250,00;$500,00
9/6/2025;15634;;$3.250,00;$1.000,00;$225,00;$2.250,00
10/9/2025;15585;;$4.500,00;$1.500,00;$300,00;$3.000,00
20/6/2025;15695;;$3.000,00;$1.000,00;$400,00;$2.000,00
11/4/2019;11177;1;$7.000,00;$2.500,00;$750,00;$500,00
22/5/2025;13438;5;$6.000,00;$500,00;$500,00;$2.500,00
16/1/2023;14105;0;$2.500,00;$250,00;$875,00;$1.350,00
1/3/2023;14260;0;$4.000,00;$1.000,00;$250,00;$250,00
6/6/2023;14549;0;$6.500,00;$1.000,00;$350,00;$1.400,00
21/7/2023;14686;0;$6.500,00;$1.000,00;$409,00;$500,00
25/8/2023;14757;0;$4.500,00;$300,00;$350,00;$3.150,00
16/1/2024;14933;0;$4.500,00;$2.000,00;$357,14;$690,00
18/3/2024;15020;0;$600,00;$200,00;$400,00;$200,00
12/6/2024;15110;0;$5.500,00;$270,00;$917,00;$100,00
16/8/2024;15178;0;$1.250,00;$250,00;$200,00;$300,00
27/9/2024;15248;0;$7.000,00;$1.500,00;$459,00;$1.782,00
15/11/2024;15307;0;$6.500,00;$1.500,00;$278,00;$3.582,00
26/11/2024;15320;0;$20.000,00;$4.000,00;$1.333,34;$7.995,00
5/12/2024;15334;0;$9.500,00;$2.000,00;$625,00;$4.375,00
9/12/2024;15338;0;$7.000,00;$1.500,00;$393,00;$3.524,00
26/7/2025;14506;0;$0,00;$0,00;$0,00;$0,00
28/4/2025;15524;0;$1.000,00;$500,00;$500,00;$0,00
20/5/2025;15542;;$2.500,00;$1.500,00;$1.000,00;$0,00
18/6/2025;15687;;$1.000,00;$350,00;$216,67;$650,00
14/3/2022;11060;1;$3.500,00;$1.000,00;$500,00;$1.700,00
26/7/2023;14699;0;$750,00;$375,00;$375,00;$375,00
28/7/2023;14760;0;$2.000,00;$0,00;$333,00;$1.000,00
24/8/2023;14708;0;$2.000,00;$0,00;$333,33;$1.000,00
28/6/2024;15129;0;$3.000,00;$1.000,00;$333,33;$0,00
26/3/2025;15483;;$3.000,00;$500,00;$750,00;$1.100,00
15/9/2022;13823;0;$2.000,00;$500,00;$500,00;$1.000,00
4/2/2022;13292;0;$4.000,00;$2.000,00;$200,00;$800,00
3/8/2023;14284;0;$1.000,00;$500,00;$166,67;$500,00
4/3/2023;14944;0;$1.000,00;$500,00;$125,00;$500,00
6/6/2024;14924;0;$3.250,00;$1.250,00;$416,00;$1.300,00
7/8/2024;15168;0;$1.000,00;$500,00;$0,00;$500,00
6/12/2024;15337;0;$1.500,00;$750,00;$750,00;$0,00
23/1/2025;15392;0;$1.500,00;$750,00;$375,00;$0,00
3/7/2020;11958;0;$7.000,00;$1.000,00;$207,50;$1.660,00
3/12/2019;12133;6;$5.365,00;$500,00;$278,25;$5.365,00
15/1/2020;11855;3;$4.500,00;$500,00;$267,00;$765,00
28/9/2020;12214;1;$8.000,00;$3.700,00;$240,00;$150,00
13/3/2021;12556;6;$4.500,00;$500,00;$267,00;$2.750,00
29/3/2021;12607;0;$7.500,00;$1.000,00;$367,00;$1.737,00
4/10/2021;12645;0;$650,00;$300,00;$350,00;$880,00
27/5/2024;12663;0;$6.000,00;$50,00;$266,66;$1.470,00
5/8/2021;12726;2;$6.000,00;$1.000,00;$210,00;$2.400,00
18/9/2021;13050;1;$6.000,00;$2.000,00;$223,00;$155,00
18/9/2021;13051;4;$5.500,00;$750,00;$267,00;$3.199,00
23/10/2021;13114;1;$3.000,00;$1.000,00;$167,00;$0,00
11/3/2021;13137;2;$5.000,00;$1.150,00;$311,00;$0,00
15/1/2022;13252;3;$6.000,00;$1.000,00;$277,77;$1.375,00
19/1/2022;13258;0;$6.000,00;$900,00;$280,00;$360,00
4/12/2022;13464;2;$5.500,00;$1.000,00;$275,00;$1.375,00
7/2/2022;13661;5;$1.500,00;$250,00;$300,00;$1.200,00
7/11/2022;13674;0;$6.000,00;$1.800,00;$350,00;$2,00
8/1/2022;13722;0;$950,00;$317,00;$317,00;$633,00
10/5/2022;13861;0;$6.500,00;$1.200,00;$353,00;$984,00
24/10/2022;13906;2;$6.000,00;$1.800,00;$350,00;$3.850,00
12/10/2022;13984;0;$7.000,00;$2.000,00;$280,00;$820,00
17/12/2022;14013;1;$10.500,00;$2.000,00;$250,00;$2.312,00
19/12/2022;14017;0;$4.500,00;$1.800,00;$180,00;$550,00
1/6/2023;14056;0;$15.000,00;$3.000,00;$400,00;$2.000,00
21/1/2023;14127;0;$5.500,00;$650,00;$350,00;$0,00
30/1/2023;14156;2;$3.000,00;$750,00;$250,00;$1.050,00
2/6/2023;14176;0;$5.000,00;$500,00;$250,00;$0,00
3/3/2023;14269;2;$5.500,00;$650,00;$350,00;$3.450,00
3/3/2023;14270;0;$900,00;$2.000,00;$467,00;$1.695,00
16/3/2023;14309;0;$5.000,00;$1.500,00;$437,50;$1.048,50
18/3/2023;14314;1;$2.000,00;$300,00;$350,00;$375,00
18/4/2023;14407;0;$8.000,00;$600,00;$375,00;$4.406,00
19/4/2023;14412;0;$6.800,00;$2.400,00;$350,00;$400,00
5/1/2023;14447;1;$1.000,00;$300,00;$234,00;$700,00
16/5/2023;14488;3;$600,00;$200,00;$400,00;$400,00
17/5/2023;14492;0;$5.000,00;$1.500,00;$350,00;$0,00
30/5/2023;14525;0;$600,00;$1.500,00;$250,00;$3.000,00
6/3/2023;14537;3;$1.000,00;$250,00;$250,00;$250,00
16/6/2023;14579;0;$8.500,00;$1.200,00;$500,00;$550,00
16/6/2023;14578;0;$8.500,00;$1.200,00;$500,00;$900,00
17/6/2023;14581;0;$6.500,00;$2.200,00;$180,00;$0,00
30/6/2023;14619;0;$6.000,00;$1.800,00;$350,00;$340,00
7/1/2023;14623;1;$6.000,00;$1.800,00;$233,33;$3.250,00
7/8/2023;14645;1;$6.500,00;$1.500,00;$252,78;$4.197,00
14/7/2023;14658;1;$6.000,00;$1.500,00;$300,00;$3.900,00
10/10/2023;14830;1;$5.500,00;$2.000,00;$437,50;$0,00
21/3/2024;14830;0;$6.000,00;$3.000,00;$250,00;$0,00
10/10/2023;14832;0;$1.800,00;$300,00;$450,00;$900,00
18/10/2023;14844;0;$10.500,00;$2.000,00;$354,17;$850,00
28/12/2023;14915;0;$350,00;$200,00;$150,00;$150,00
26/1/2024;14967;0;$5.100,00;$300,00;$425,00;$0,00
12/2/2024;14971;0;$6.500,00;$1.500,00;$358,00;$1.450,00
21/3/2024;15022;1;$4.500,00;$1.500,00;$250,00;$1.600,00
29/3/2024;15035;1;$3.250,00;$1.000,00;$225,00;$850,00
29/3/2024;15030;0;$4.000,00;$1.500,00;$250,00;$0,00
1/4/2024;15039;0;$6.500,00;$1.000,00;$343,75;$1.136,52
19/4/2024;15054;;$2.500,00;$1.000,00;$187,50;$420,00
6/11/2022;13606;0;$6.000,00;$900,00;$280,00;$781,00
14/11/2020;12314;2;$1.250,00;$375,00;$292,00;$875,00
21/5/2024;15085;0;$5.000,00;$1.500,00;$250,00;$2.000,00
24/5/2024;15089;0;$6.500,00;$1.000,00;$392,85;$1.214,30
21/6/2024;15124;0;$2.500,00;$1.000,00;$188,00;$0,00
24/6/2024;15127;0;$5.000,00;$2.500,00;$209,00;$1.610,00
11/7/2024;15137;0;$5.500,00;$1.500,00;$400,00;$2.000,00
16/7/2024;15139;0;$4.000,00;$1.000,00;$250,00;$1.500,00
29/7/2024;15153;0;$2.500,00;$500,00;$141,00;$900,00
7/8/2024;15167;0;$5.500,00;$1.000,00;$900,00;$4.500,00
13/8/2002;15172;0;$6.000,00;$1.500,00;$300,00;$1.800,00
26/8/2024;15196;0;$1.500,00;$750,00;$750,00;$150,00
17/9/2024;15235;1;$1.500,00;$750,00;$750,00;$450,00
5/11/2024;15291;0;$2.500,00;$1.000,00;$300,00;$1.500,00
22/11/2024;15315;0;$8.500,00;$2.000,00;$541,66;$3.250,00
23/12/2024;15359;0;$2.000,00;$1.000,00;$1.000,00;$0,00
2/1/2024;15370;0;$5.500,00;$1.000,00;$459,00;$4.000,00
4/2/2025;15417;0;$5.500,00;$1.500,00;$572,00;$2.284,00
22/4/2025;15515;0;$5.500,00;$1.000,00;$375,00;$4.125,00
21/1/2019;10902;0;$9.000,00;$1.600,00;$400,00;$600,00
22/2/2020;11526;0;$5.000,00;$1.500,00;$280,00;$700,00
18/4/2020;11623;0;$7.000,00;$600,00;$278,00;$500,00
1/11/2021;12414;0;$4.000,00;$4.000,00;$1.000,00;$125,00
2/6/2021;12473;1;$6.000,00;$1.000,00;$280,00;$3.550,00
1/12/2022;13243;0;$9.500,00;$2.000,00;$350,00;$1.939,00
20/4/2022;13487;0;$8.500,00;$2.500,00;$350,00;$0,00
20/4/2022;13519;0;$8.500,00;$2.500,00;$350,00;$0,00
24/5/2022;13552;0;$9.500,00;$1.500,00;$300,00;$4.600,00
28/5/2022;13562;0;$9.500,00;$2.500,00;$350,00;$0,00
6/3/2022;13578;0;$10.000,00;$2.000,00;$400,00;$1.600,00
15/6/2022;13622;0;$9.500,00;$2.000,00;$350,00;$3.500,00
15/6/2022;13621;0;$1.500,00;$500,00;$1.000,00;$0,00
8/1/2022;13728;0;$6.500,00;$1.500,00;$350,00;$0,00
19/11/2022;13953;0;$6.500,00;$1.200,00;$250,00;$650,00
12/10/2022;13986;0;$600,00;$600,00;$292,00;$440,00
17/12/2022;14008;0;$6.500,00;$1.500,00;$277,00;$3.150,00
1/9/2023;14065;0;$7.500,00;$900,00;$335,00;$4.725,00
19/1/2023;14118;0;$6.500,00;$1.500,00;$250,00;$1.650,00
20/2/2023;14228;0;$9.500,00;$2.000,00;$300,00;$0,00
25/2/2023;14243;0;$7.500,00;$1.000,00;$271,00;$187,00
23/3/2023;14331;1;$1.000,00;$700,00;$300,00;$300,00
5/1/2023;14450;0;$4.500,00;$1.500,00;$350,00;$250,00
6/10/2023;14564;0;$9.500,00;$900,00;$350,00;$350,00
20/6/2023;14562;0;$6.500,00;$1.500,00;$350,00;$850,00
31/1/2025;14613;0;$10.000,00;$3.000,00;$450,00;$740,00
29/7/2023;14713;0;$6.500,00;$1.500,00;$188,00;$358,00
29/11/2023;14887;0;$9.500,00;$3.000,00;$650,00;$0,00
12/3/2024;15010;3;$600,00;$300,00;$300,00;$300,00
21/11/2024;15315;0;$8.500,00;$2.000,00;$541,66;$4.333,36
3/6/2022;13578;3;$10.000,00;$2.000,00;$400,00;$1.600,00
6/12/2025;15653;;$3.000,00;$1.500,00;$750,00;$1.500,00
20/7/2021;12919;1;$5.000,00;$2.000,00;$375,00;$75,00
14/9/2022;13667;0;$5.500,00;$1.500,00;$542,00;$880,00
19/8/2024;15179;0;$3.500,00;$2.000,00;$750,00;$750,00
7/6/2024;15103;0;$3.600,00;$3.500,00;$100,00;$100,00
6/1/2021;12792;5;$2.500,00;$850,00;$825,00;$1.650,00
29/7/2021;12943;2;$1.100,00;$550,00;$275,00;$100,00
18/7/2022;13687;1;$3.500,00;$1.000,00;$625,00;$625,00
20/7/2023;14681;0;$2.500,00;$1.250,00;$416,66;$0,00
